City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Presidencia Roque Saenz Pena,AR,2020-02-18 04:47:33,-26.79,-60.44,87.94,50,18,8.93
236,Merauke,ID,2020-02-18 04:50:55,-8.47,140.33,89.04,60,36,9.48
237,Banda Aceh,ID,2020-02-18 04:50:55,5.56,95.32,88.45,54,50,8.41
238,Amapa,BR,2020-02-18 04:50:55,1.0,-52.0,69.24,98,46,2.19
239,Hovd,MN,2020-02-18 04:50:55,48.01,91.64,8.89,52,100,4.92
240,Kruisfontein,ZA,2020-02-18 04:50:56,-34.0,24.73,65.03,90,46,14.76
241,Waipawa,NZ,2020-02-18 04:50:56,-41.41,175.52,71.01,82,100,19.46
242,Pimenta Bueno,BR,2020-02-18 04:46:59,-11.67,-61.19,72.72,95,65,2.57
243,Wanning,CN,2020-02-18 04:50:56,18.8,110.4,66.31,74,100,11.16
244,Sosnovo-Ozerskoye,RU,2020-02-18 04:50:56,52.52,111.54,13.26,80,28,4.92
245,Falun,SE,2020-02-18 04:50:57,60.6,15.63,43.0,75,35,16.11
246,Puerto Escondido,MX,2020-02-18 04:46:06,15.85,-97.07,69.93,69,0,3.74
247,Lagoa,PT,2020-02-18 04:50:57,39.05,-27.98,56.16,59,29,8.37
248,Lusambo,CD,2020-02-18 04:50:58,-4.97,23.45,72.99,83,85,2.42
249,College,US,2020-02-18 04:50:58,64.86,-147.8,15.8,84,90,3.83
250,Kieta,PG,2020-02-18 04:50:58,-6.22,155.63,85.32,70,3,6.91
251,Torit,SS,2020-02-18 04:50:58,4.41,32.57,88.93,36,0,6.78
252,Hervey Bay,AU,2020-02-18 04:50:58,-25.3,152.85,90.0,62,40,11.41
253,Puri,IN,2020-02-18 04:50:59,19.8,85.85,75.2,53,0,4.7
254,Bilibino,RU,2020-02-18 04:50:59,68.05,166.44,-23.75,98,72,1.52
255,Najran,SA,2020-02-18 04:50:59,17.49,44.13,59.0,30,5,5.82
256,Bethel,US,2020-02-18 04:50:59,41.37,-73.41,37.99,58,1,3.85
257,Tevriz,RU,2020-02-18 04:51:00,57.51,72.4,17.6,82,35,10.33
258,Chuy,UY,2020-02-18 04:51:00,-33.7,-53.46,76.23,91,73,11.14
259,Clyde River,CA,2020-02-18 04:51:00,70.47,-68.59,-27.4,74,1,2.24
260,Buraydah,SA,2020-02-18 04:51:01,26.33,43.98,57.2,76,75,19.46
261,Mazagao,BR,2020-02-18 04:48:49,-0.12,-51.29,78.8,100,46,8.05
